conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
below_vwap & strong_body & bull_fvg,35,-0.04371428571428571,3.4285714285714284,0.4,0.34285714285714286,0.2857142857142857,0.45714285714285713,-0.8714285714285714,-0.36428571428571427,-11.092857142857143,-11.25,105.24115064895464
below_vwap & back_inside_or & strong_body & bull_fvg,35,-0.04371428571428571,3.4285714285714284,0.4,0.34285714285714286,0.2857142857142857,0.45714285714285713,-0.8714285714285714,-0.36428571428571427,-11.092857142857143,-11.25,105.24115064895464
below_vwap & green_bar & strong_body & bull_fvg,35,-0.04371428571428571,3.4285714285714284,0.4,0.34285714285714286,0.2857142857142857,0.45714285714285713,-0.8714285714285714,-0.36428571428571427,-11.092857142857143,-11.25,105.24115064895464
below_vwap & back_inside_or & green_bar & strong_body & bull_fvg,35,-0.04371428571428571,3.4285714285714284,0.4,0.34285714285714286,0.2857142857142857,0.45714285714285713,-0.8714285714285714,-0.36428571428571427,-11.092857142857143,-11.25,105.24115064895464
above_vwap & green_bar & strong_body & high_rel_vol & high_volatility,36,-0.050555555555555555,5.416666666666667,0.3611111111111111,0.3611111111111111,0.4166666666666667,0.2777777777777778,-14.868055555555555,-0.3888888888888889,-34.875,8.125,108.04029414403757
above_vwap & high_volatility,208,-0.05792067307692308,30.764423076923077,0.42788461538461536,0.3798076923076923,0.3894230769230769,0.3701923076923077,-2.2920673076923075,-0.0733173076923077,-1.6658653846153846,8.625,125.81208083147344
back_inside_or & large_or & red_bar & large_lower_wick & tight_spread,79,-0.06180379746835443,12.556962025316455,0.4430379746835443,0.3924050632911392,0.4050632911392405,0.4177215189873418,-5.781645569620253,-0.19936708860759494,9.094936708860759,6.5,174.74506329802335
above_vwap & strong_body & tight_spread & high_volatility,59,-0.06940677966101695,8.186440677966102,0.3898305084745763,0.3559322033898305,0.3898305084745763,0.3389830508474576,-13.411016949152541,-0.3305084745762712,-12.872881355932204,8.25,111.49501729122912
above_vwap & back_inside_or & strong_body & tight_spread & high_volatility,59,-0.06940677966101695,8.186440677966102,0.3898305084745763,0.3559322033898305,0.3898305084745763,0.3389830508474576,-13.411016949152541,-0.3305084745762712,-12.872881355932204,8.25,111.49501729122912
green_bar & large_lower_wick & tight_spread & high_rel_vol,67,-0.10298507462686568,8.597014925373134,0.44776119402985076,0.3582089552238806,0.3582089552238806,0.31343283582089554,-10.238805970149254,-0.4291044776119403,-3.171641791044776,11.25,119.28627557942335
above_vwap & green_bar & strong_body & tight_spread & high_volatility,58,-0.12400862068965517,8.327586206896552,0.39655172413793105,0.3620689655172414,0.39655172413793105,0.3448275862068966,-13.344827586206897,-0.5905172413793104,-13.461206896551724,7.0,112.45074651133194
large_or & large_lower_wick & expansion_bar,99,-0.13151515151515153,17.393939393939394,0.47474747474747475,0.42424242424242425,0.41414141414141414,0.41414141414141414,5.633838383838384,-0.31313131313131315,15.679292929292929,4.5,154.25728633368863
